%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
1538074294407308133,614,1538074294407150352,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1538074294445442830,615,1538074294445146764,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1538074294479676281,616,1538074294479388230,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1538074294505889236,617,1538074294505720707,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1538074294552391147,618,1538074294551850710,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1538074294580813207,619,1538074294580573809,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1538074294607293801,620,1538074294607104863,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1538074294640506684,621,1538074294640330959,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1538074294676197318,622,1538074294675971181,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1538074294709581054,623,1538074294709369998,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1538074294742864046,624,1538074294742636896,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1538074294776206558,625,1538074294776022684,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1538074294809674613,626,1538074294809129684,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1538074294839939684,627,1538074294839684816,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1538074294876053792,628,1538074294875829402,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1538074294908447677,629,1538074294908052246,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1538074294939544837,630,1538074294939335166,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1538074294972890295,631,1538074294972681345,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1538074295006133634,632,1538074295005970577,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1538074295039608187,633,1538074295039393893,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1538074295081037648,634,1538074295080612256,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
